age,alcohol_use,marijuana_use,cocaine_use,crack_use,heroin_use,hallucinogen_use,inhalant_use,pain_releiver_use,oxycontin_use,tranquilizer_use,stimulant_use,meth_use,sedative_use
12,3.9,1.1,0.1,0,0.1,0.2,1.6,2,0.1,0.2,0.2,0,0.2
13,8.5,3.4,0.1,0,0,0.6,2.5,2.4,0.1,0.3,0.3,0.1,0.1
14,18.1,8.7,0.1,0,0.1,1.6,2.6,3.9,0.4,0.9,0.8,0.1,0.2
15,29.2,14.5,0.5,0.1,0.2,2.1,2.5,5.5,0.8,2,1.5,0.3,0.4
16,40.1,22.5,1,0,0.1,3.4,3,6.2,1.1,2.4,1.8,0.3,0.2
17,49.3,28,2,0.1,0.1,4.8,2,8.5,1.4,3.5,2.8,0.6,0.5
18,58.7,33.7,3.2,0.4,0.4,7,1.8,9.2,1.7,4.9,3,0.5,0.4
19,64.6,33.4,4.1,0.5,0.5,8.6,1.4,9.4,1.5,4.2,3.3,0.4,0.3
20,69.7,34,4.9,0.6,0.9,7.4,1.5,10,1.7,5.4,4,0.9,0.5
21,83.2,33,4.8,0.5,0.6,6.3,1.4,9,1.3,3.9,4.1,0.6,0.3
22-23,84.2,28.4,4.5,0.5,1.1,5.2,1,10,1.7,4.4,3.6,0.6,0.2
24-25,83.1,24.9,4,0.5,0.7,4.5,0.8,9,1.3,4.3,2.6,0.7,0.2
26-29,80.7,20.8,3.2,0.4,0.6,3.2,0.6,8.3,1.2,4.2,2.3,0.6,0.4
30-34,77.5,16.4,2.1,0.5,0.4,1.8,0.4,5.9,0.9,3.6,1.4,0.4,0.4
35-49,75,10.4,1.5,0.5,0.1,0.6,0.3,4.2,0.3,1.9,0.6,0.2,0.3
50-64,67.2,7.3,0.9,0.4,0.1,0.3,0.2,2.5,0.4,1.4,0.3,0.2,0.2
65+,49.3,1.2,0,0,0,0.1,0,0.6,0,0.2,0,0,0
